id	kind	query	documents
1	real-exact	garbage collection	1
2	real-case	GARBAGE COLLECTION	1
3	real-exact	compiler checks	1
4	real-exact	safe and efficient	1
5	real-exact	no-replace publication	2
6	real-punctuation	no replace publication	2
7	real-exact	UTF-8 bytes	2
8	real-exact	physical power loss	3
9	real-punctuation	kernel sealed copy	3
10	real-punctuation	zero copy disk	3
11	real-punctuation	1M 10M numerical campaigns	3
12	absent	proof of immortality	-
13	unsupported-paraphrase	Rust guarantees that no program can fail	-
14	real-exact	Memory is managed	1
15	cross-line-rejected	managed through a system	-
16	real-exact	slow down your program	1
17	real-exact	independently trusted pins	2
18	real-exact	caller supplied passages	2
19	absent	mind reading processor	-
20	unsupported-paraphrase	explain why computers forget	-
21	unicode-fixture	ZAŻÓŁĆ GĘŚLĄ	4
22	unicode-fixture	café	4
23	unicode-fixture	ος	4
24	unicode-fixture	LODŹ	-
